,primary_performance,stepwise_performance,num_steps,rotation_error,result,most_likely_object,primary_target_object,stepwise_target_object,highest_evidence,time,symmetry_evidence,monty_steps,monty_matching_steps,individual_ts_performance,individual_ts_reached_at_step,primary_target_position,primary_target_rotation_euler,most_likely_rotation,num_possible_matches,detected_location,detected_rotation,detected_scale,location_rel_body,detected_path,individual_ts_rotation_error,mean_objects_per_graph,mean_graphs_per_object,TFNP,possible_match_sources,most_likely_location,episode_avg_prediction_error,goal_states_attempted,goal_state_achieved,episode_seed,primary_target_rotation_quat,primary_target_scale,lm_id
LM_0,no_match,no_match,917,,new_object0,new_object0,capture_001,no_label,0,0.002748727798461914,0,1000,1,no_match,0.0,[0 0 0],[0 0 0],[0. 0. 0.],0,"[None, None, None]","[None, None, None]",,[0.03013008 0.1272656  0.46198654],,,,,unknown_object_not_matched_(TN),,"[0, 0, 0]",,0,0.0,1060955053,[0. 0. 0. 1.],1.0,LM_0
LM_0,no_match,no_match,929,,new_object1,new_object0,capture_002,no_label,0.44447825173405375,0.0048215389251708984,0,1000,1,no_match,0.0,[0 0 0],[0 0 0],[-40.71400727   5.87165645  -1.28567708],0,"[None, None, None]","[None, None, None]",,[0.02887727 0.13140741 0.43049428],,,1.0,1.0,unknown_object_not_matched_(TN),,[0.06837799 0.05470322 0.43206292],,0,0.0,1260428609,[0. 0. 0. 1.],1.0,LM_0
LM_0,confused_mlh,confused_mlh,924,,['new_object1'],new_object1,capture_004,no_label,2.781833494965381,6.971239328384399,0,1000,924,time_out,,[0 0 0],[0 0 0],[  5.99239076 -27.73263539 -88.76082013],1,"[None, None, None]","[None, None, None]",,[ 0.07968347 -0.04855482  0.42827371],,,1.0,1.0,unknown_object_in_possible_matches_(FP),capture_002,[0.05192878 0.08966073 0.42251554],0.5559233518140446,153,0,3997959863,[0. 0. 0. 1.],1.0,LM_0
LM_0,confused_mlh,confused_mlh,927,,['new_object1'],new_object1,capture_005,no_label,2.141006276446717,6.984349489212036,0,1000,927,time_out,,[0 0 0],[0 0 0],[ 10.47650139 -32.13102311 -96.19735281],1,"[None, None, None]","[None, None, None]",,[0.0345514  0.0966614  0.46363649],,,1.0,1.0,unknown_object_in_possible_matches_(FP),capture_002,[0.05192878 0.08966073 0.42251554],0.5860539809993462,154,0,99937259,[0. 0. 0. 1.],1.0,LM_0
LM_0,confused_mlh,confused_mlh,911,,['new_object1'],new_object1,capture_006,no_label,1.6501941115278105,6.759483814239502,0,1000,911,time_out,,[0 0 0],[0 0 0],[120.96463372 -44.43222898 133.07724555],1,"[None, None, None]","[None, None, None]",,[0.02602659 0.06454578 0.48149574],,,1.0,1.0,unknown_object_in_possible_matches_(FP),capture_002,[0.09081069 0.03299885 0.46041098],0.5872961216369731,151,0,560786102,[0. 0. 0. 1.],1.0,LM_0
LM_0,correct,confused,874,0.0009,new_object0,new_object0,capture_001,no_label,60.99999999999999,1.9572529792785645,0,1000,283,correct,283,[0 0 0],[0 0 0],[ 0.00040247  0.0001631  -0.0008167 ],1,[0.09290524 0.07109447 0.43396293],[  0.      0.    359.999],1.0,[0.05969184 0.08593247 0.42743531],[0.09290524 0.07109447 0.43396293],0.0009,1.0,1.0,target_in_possible_matches_(TP),capture_001,[0.09290524 0.07109447 0.43396293],0.5049434656295545,46,0,1953320932,[0. 0. 0. 1.],1.0,LM_0
LM_0,correct,confused,939,0.0554,new_object1,new_object1,capture_002,no_label,101.0,0.640629768371582,0,1000,101,correct,101,[0 0 0],[0 0 0],[-0.00352982  0.04914859  0.02539987],1,[0.04492263 0.05921124 0.42979956],[3.59996e+02 4.90000e-02 2.50000e-02],1.0,[0.04482432 0.08320512 0.42978123],[0.04492263 0.05921124 0.42979956],0.0554,1.0,1.0,target_in_possible_matches_(TP),capture_002,[0.04492263 0.05921124 0.42979956],0.3333333333333336,16,0,2492039860,[0. 0. 0. 1.],1.0,LM_0
LM_0,confused_mlh,confused_mlh,925,,['new_object0'],new_object0,capture_004,no_label,9.771721095994105,7.346576929092407,0,1000,925,time_out,,[0 0 0],[0 0 0],[   3.9286848    24.94366067 -158.43116565],1,"[None, None, None]","[None, None, None]",,[ 0.08815577 -0.02480583  0.4307574 ],,,1.0,1.0,unknown_object_in_possible_matches_(FP),capture_001,[0.0844992  0.06928943 0.43144669],0.5697723787445452,153,0,2201955992,[0. 0. 0. 1.],1.0,LM_0
LM_0,confused_mlh,confused_mlh,930,,"['new_object0', 'new_object1']",new_object0,capture_005,no_label,1.5681697344098346,7.025838851928711,0,1000,930,time_out,,[0 0 0],[0 0 0],[ 71.76984848  -3.87132745 124.46167832],2,"[None, None, None]","[None, None, None]",,[0.06028894 0.09642991 0.46252617],,,1.0,1.0,unknown_object_in_possible_matches_(FP),capture_001-capture_002,[0.04280691 0.03689903 0.46221672],0.5874613388545457,154,0,306583017,[0. 0. 0. 1.],1.0,LM_0
LM_0,confused_mlh,confused_mlh,945,,"['new_object0', 'new_object1']",new_object0,capture_006,no_label,2.156580017422246,7.246010065078735,0,1000,945,time_out,,[0 0 0],[0 0 0],[  62.40863846   -2.39242937 -121.66326512],2,"[None, None, None]","[None, None, None]",,[0.12583404 0.04709417 0.4863275 ],,,1.0,1.0,unknown_object_in_possible_matches_(FP),capture_001-capture_002,[0.05972863 0.07006805 0.42769873],0.58153032996234,156,0,583356519,[0. 0. 0. 1.],1.0,LM_0
LM_0,correct,confused,903,0.0989,new_object0,new_object0,capture_001,no_label,101.0,0.6209201812744141,0,1000,101,correct,101,[0 0 0],[0 0 0],[-0.00688388  0.08400258  0.05174954],1,[0.04589664 0.04001826 0.44762944],[3.59993e+02 8.40000e-02 5.20000e-02],1.0,[0.02946914 0.07402503 0.45185232],[0.04589664 0.04001826 0.44762944],0.0989,1.0,1.0,target_in_possible_matches_(TP),capture_001,[0.04589664 0.04001826 0.44762944],,16,0,1177517334,[0. 0. 0. 1.],1.0,LM_0
LM_0,correct,confused,902,0.0832,new_object1,new_object1,capture_002,no_label,100.99999999999999,0.6624696254730225,0,1000,101,correct,101,[0 0 0],[0 0 0],[-0.00528656  0.07372346  0.03809867],1,[0.04614963 0.04439004 0.44148413],[3.59995e+02 7.40000e-02 3.80000e-02],1.0,[0.08482896 0.07522315 0.42986965],[0.04614963 0.04439004 0.44148413],0.0832,1.0,1.0,target_in_possible_matches_(TP),capture_002,[0.04614963 0.04439004 0.44148413],0.3333333333333334,16,0,111915506,[0. 0. 0. 1.],1.0,LM_0
